Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw
2024-02-03 20:34:01,20,10,-20,-96,85,0,0,-100
2024-02-03 20:34:01,20,10,-20,-96,85,0,0,-100
2024-02-03 20:34:01,20,10,-20,-93,85,0,0,-100
2024-02-03 20:34:01,20,6,-21,-86,85,0,0,-100
2024-02-03 20:34:01,20,6,-21,-86,85,0,0,-100
2024-02-03 20:34:01,20,5,-21,-83,85,0,0,-100
2024-02-03 20:34:01,20,1,-23,-69,84,0,0,-100
2024-02-03 20:34:01,20,0,-23,-65,84,0,0,-100
2024-02-03 20:34:02,20,-2,-22,-59,83,0,0,-100
2024-02-03 20:34:02,20,-7,-22,-47,83,0,0,-100
2024-02-03 20:34:02,20,-8,-21,-42,83,0,0,-100
2024-02-03 20:34:02,20,-10,-20,-37,83,0,0,-100
2024-02-03 20:34:02,20,-14,-18,-27,82,0,0,-81
2024-02-03 20:34:02,20,-17,-15,-21,82,0,0,-63
2024-02-03 20:34:02,20,-17,-15,-21,82,0,0,-63
2024-02-03 20:34:02,20,-20,-11,-8,82,0,0,-24
2024-02-03 20:34:02,20,-21,-10,-5,82,0,0,-15
2024-02-03 20:34:02,20,-22,-9,-5,82,0,0,-15
2024-02-03 20:34:02,20,-22,-8,-1,82,55,0,-3
2024-02-03 20:34:02,20,-23,-7,2,82,100,0,6
2024-02-03 20:34:02,20,-24,-7,1,82,100,0,3
2024-02-03 20:34:03,20,-24,-7,2,82,60,0,6
2024-02-03 20:34:03,20,-18,-9,2,82,-100,0,6
2024-02-03 20:34:03,20,-15,-10,3,82,-100,0,9
2024-02-03 20:34:03,20,-15,-10,3,82,37,0,9
2024-02-03 20:34:03,20,-7,-10,2,83,-100,0,6
2024-02-03 20:34:03,20,-5,-10,5,83,0,0,15
2024-02-03 20:34:03,20,-4,-10,2,84,-100,0,6
2024-02-03 20:34:04,20,-4,-9,2,84,10,0,6
2024-02-03 20:34:04,20,-4,-10,5,83,0,0,15
2024-02-03 20:34:04,20,-4,-10,5,83,0,0,15
2024-02-03 20:34:04,20,-5,-10,5,82,0,0,15
2024-02-03 20:34:04,20,-7,-9,6,82,0,0,18
2024-02-03 20:34:04,20,-8,-9,5,82,0,0,15
2024-02-03 20:34:04,20,-11,-9,8,82,0,0,24
2024-02-03 20:34:04,20,-16,-8,7,81,0,0,21
2024-02-03 20:34:04,20,-20,-8,8,81,0,0,24
2024-02-03 20:34:04,20,-20,-8,8,81,0,0,24
2024-02-03 20:34:14,20,-25,-18,-5,83,0,0,-15
2024-02-03 20:34:14,20,-25,-18,-5,83,0,0,-15
2024-02-03 20:34:14,20,-25,-18,-7,83,0,0,-21
2024-02-03 20:34:14,20,-25,-19,-5,82,0,0,-15
2024-02-03 20:34:14,20,-25,-18,-5,82,0,0,-15
2024-02-03 20:34:14,20,-26,-18,-3,82,100,0,-9
2024-02-03 20:34:14,20,-25,-17,-4,82,0,0,-12
2024-02-03 20:34:14,20,-25,-16,-2,82,62,0,-6
2024-02-03 20:34:15,20,-24,-15,-3,80,-6,0,-9
2024-02-03 20:34:15,20,-19,-16,-3,80,-100,0,-9
2024-02-03 20:34:15,20,-18,-16,-4,80,0,0,-12
2024-02-03 20:34:15,20,-17,-16,-4,80,0,0,-12
2024-02-03 20:34:15,20,-16,-16,-2,79,-100,0,-6
2024-02-03 20:34:15,20,-10,-17,-3,79,-100,0,-9
2024-02-03 20:34:15,20,-10,-17,-3,79,25,0,-9
2024-02-03 20:34:15,20,-10,-18,-3,79,25,0,-9
2024-02-03 20:34:15,20,-8,-19,-2,79,-100,0,-6
2024-02-03 20:34:15,20,-8,-19,-4,78,0,0,-12
2024-02-03 20:34:15,20,-9,-20,-4,78,0,0,-12
2024-02-03 20:34:15,20,-11,-20,-5,78,0,0,-15
2024-02-03 20:34:15,20,-14,-20,-5,78,0,0,-15
2024-02-03 20:34:16,20,-14,-20,-5,77,0,0,-15
2024-02-03 20:34:16,20,-21,-21,-2,78,100,0,-6
2024-02-03 20:34:16,20,-23,-21,-2,78,100,0,-6
2024-02-03 20:34:16,20,-24,-21,-3,78,100,0,-9
2024-02-03 20:34:17,20,-26,-29,-4,81,0,0,-12
2024-02-03 20:34:17,20,-18,-31,-4,76,0,0,-12
2024-02-03 20:34:17,20,-18,-31,-5,71,0,0,-15
2024-02-03 20:34:17,20,-19,-31,-2,55,100,0,-6
2024-02-03 20:34:17,20,-20,-32,-2,55,100,0,-6
2024-02-03 20:34:17,20,-21,-32,0,49,100,0,0
2024-02-03 20:34:17,20,-23,-33,1,45,100,0,3
2024-02-03 20:34:17,20,-25,-33,3,36,100,0,9
2024-02-03 20:34:17,20,-24,-33,3,35,-100,0,9
2024-02-03 20:34:18,20,-23,-34,3,35,-100,0,9
2024-02-03 20:34:18,20,-23,-35,2,34,57,0,6
2024-02-03 20:34:18,20,-18,-36,4,34,0,0,12
