Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw
2024-02-03 22:01:17,20,-21,3,-12,67,0,0,-36
2024-02-03 22:01:17,20,-20,2,-12,67,0,0,-36
2024-02-03 22:01:17,20,-19,3,-11,67,0,0,-33
2024-02-03 22:01:17,20,-18,3,-11,66,0,0,-33
2024-02-03 22:01:17,20,-15,2,-9,66,0,0,-27
2024-02-03 22:01:18,20,-14,2,-7,65,0,0,-21
2024-02-03 22:01:18,20,-12,2,-7,65,0,0,-21
2024-02-03 22:01:18,20,-12,2,-7,64,0,0,-21
2024-02-03 22:01:18,20,-10,2,-7,65,0,0,-21
2024-02-03 22:01:18,20,-8,2,-4,65,0,0,-12
2024-02-03 22:01:18,20,-5,0,-5,65,0,0,-15
2024-02-03 22:01:18,20,-4,0,-4,65,0,0,-12
2024-02-03 22:01:18,20,-6,2,-5,64,0,0,-15
2024-02-03 22:01:19,20,-9,4,-5,63,0,0,-15
2024-02-03 22:01:19,20,-9,4,-4,63,0,0,-12
2024-02-03 22:01:19,20,-8,4,-6,63,0,0,-18
2024-02-03 22:01:19,20,-7,4,-5,64,0,0,-15
2024-02-03 22:01:19,20,-7,3,-3,65,15,-9,-9
2024-02-03 22:01:19,20,-5,2,-4,65,0,0,-12
2024-02-03 22:01:19,20,-5,2,-4,65,0,0,-12
2024-02-03 22:01:19,20,-4,2,-3,66,-15,10,-9
2024-02-03 22:01:20,20,-5,4,-2,66,15,-15,-6
2024-02-03 22:01:20,20,-8,5,0,66,15,-15,0
2024-02-03 22:01:20,20,-10,6,1,66,15,-15,3
2024-02-03 22:01:20,20,-16,10,4,66,0,0,12
2024-02-03 22:01:20,20,-18,11,4,67,0,0,12
2024-02-03 22:01:20,20,-20,14,6,67,0,0,18
2024-02-03 22:01:20,20,-20,14,6,67,0,0,18
2024-02-03 22:01:25,20,-6,5,8,70,0,0,24
2024-02-03 22:01:25,20,-6,5,8,69,0,0,24
2024-02-03 22:01:25,20,-6,4,9,69,0,0,27
2024-02-03 22:01:25,20,-6,4,8,68,0,0,24
2024-02-03 22:01:26,20,-6,3,8,68,0,0,24
2024-02-03 22:01:26,20,-6,3,5,68,0,0,15
2024-02-03 22:01:26,20,-6,2,5,68,0,0,15
