Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw
2024-02-03 22:11:03,20,-7,22,-15,81,0,0,-45
2024-02-03 22:11:04,20,-7,20,-13,80,0,0,-39
2024-02-03 22:11:04,20,-6,19,-15,81,0,0,-45
2024-02-03 22:11:04,20,-5,19,-13,81,0,0,-39
2024-02-03 22:11:04,20,-4,19,-15,81,0,0,-45
2024-02-03 22:11:04,20,-4,19,-15,81,0,0,-45
2024-02-03 22:11:04,20,-4,20,-13,82,0,0,-39
2024-02-03 22:11:04,20,-4,20,-13,83,0,0,-39
2024-02-03 22:11:04,20,-4,21,-14,83,0,0,-42
2024-02-03 22:11:05,20,-5,21,-13,83,0,0,-39
2024-02-03 22:11:05,20,-5,21,-13,83,0,0,-39
2024-02-03 22:11:05,20,-4,22,-9,82,0,0,-27
2024-02-03 22:11:05,20,-4,23,-10,82,0,0,-30
2024-02-03 22:11:05,20,-3,23,-4,82,0,0,-12
2024-02-03 22:11:05,20,-3,23,-4,82,0,0,-12
2024-02-03 22:11:05,20,-3,23,-4,82,0,0,-12
2024-02-03 22:11:05,20,-3,23,-2,82,15,-15,-6
2024-02-03 22:11:06,20,-2,23,-2,83,-15,-15,-6
2024-02-03 22:11:06,20,-2,23,-1,83,10,-15,-3
2024-02-03 22:11:06,20,-3,23,1,84,15,-15,3
2024-02-03 22:11:06,20,-3,24,0,84,15,-15,0
2024-02-03 22:11:06,20,-4,24,2,85,15,-15,6
2024-02-03 22:11:06,20,-4,24,2,85,15,-15,6
2024-02-03 22:11:06,20,-5,22,-1,86,15,-15,-3
2024-02-03 22:11:06,20,-5,21,1,86,15,-15,3
2024-02-03 22:11:07,20,-5,20,1,86,15,-15,3
2024-02-03 22:11:07,20,-5,19,1,87,15,-15,3
2024-02-03 22:11:07,20,-4,18,0,87,-15,-15,0
2024-02-03 22:11:07,20,-4,17,1,87,15,-15,3
2024-02-03 22:11:07,20,-2,14,-3,87,-15,15,-9
2024-02-03 22:11:07,20,-2,14,-1,86,10,-15,-3
2024-02-03 22:11:07,20,-1,10,-1,86,-15,15,-3
2024-02-03 22:11:07,20,0,10,-3,86,-15,-15,-9
2024-02-03 22:11:08,20,1,8,-1,86,-15,15,-3
2024-02-03 22:11:08,20,2,6,-3,86,-15,15,-9
2024-02-03 22:11:08,20,2,6,-3,85,-10,-15,-9
2024-02-03 22:11:08,20,2,5,0,85,-10,15,0
2024-02-03 22:11:08,20,1,3,-3,85,15,15,-9
2024-02-03 22:11:08,20,1,4,0,84,-5,-15,0
2024-02-03 22:11:08,20,-1,3,0,84,15,15,0
2024-02-03 22:11:08,20,-3,3,0,84,15,-15,0
2024-02-03 22:11:09,20,-3,4,0,84,15,-15,0
2024-02-03 22:11:09,20,-4,5,0,84,15,-15,0
2024-02-03 22:11:09,20,-6,5,0,84,15,-15,0
2024-02-03 22:11:09,20,-5,5,0,84,-15,-15,0
2024-02-03 22:11:09,20,-4,4,-1,85,-15,15,-3
2024-02-03 22:11:09,20,-3,4,0,85,-15,-15,0
2024-02-03 22:11:09,20,-2,3,0,85,-15,15,0
2024-02-03 22:11:09,20,-1,2,0,84,-15,15,0
2024-02-03 22:11:10,20,-1,1,1,84,5,15,3
2024-02-03 22:11:10,20,-1,-1,2,84,5,15,6
2024-02-03 22:11:10,20,-2,-2,2,84,15,15,6
2024-02-03 22:11:10,20,-3,-2,2,84,15,10,6
2024-02-03 22:11:10,20,-4,-3,2,83,15,15,6
2024-02-03 22:11:10,20,-5,-3,2,84,15,15,6
2024-02-03 22:11:10,20,-6,-2,2,84,15,-15,6
2024-02-03 22:11:10,20,-6,-2,2,84,15,10,6
2024-02-03 22:11:11,20,-6,-1,2,84,15,-15,6
2024-02-03 22:11:11,20,-5,0,3,84,-15,-15,9
2024-02-03 22:11:11,20,-5,0,2,83,15,0,6
2024-02-03 22:11:11,20,-4,1,3,84,-15,-15,9
2024-02-03 22:11:11,20,-2,1,2,83,-15,-5,6
2024-02-03 22:11:11,20,-1,1,2,83,-15,-5,6
2024-02-03 22:11:11,20,0,1,3,83,-15,-5,9
2024-02-03 22:11:11,20,1,1,1,83,-15,-5,3
2024-02-03 22:11:12,20,1,0,1,83,-5,15,3
2024-02-03 22:11:12,20,1,0,0,83,-5,0,0
2024-02-03 22:11:12,20,1,0,-1,85,-5,0,-3
2024-02-03 22:11:12,20,0,-1,0,85,15,15,0
2024-02-03 22:11:12,20,-1,-1,1,87,15,5,3
2024-02-03 22:11:12,20,-2,-1,1,88,15,5,3
2024-02-03 22:11:12,20,-4,-1,3,88,15,5,9
2024-02-03 22:11:12,20,-4,-1,2,89,15,5,6
2024-02-03 22:11:13,20,-4,0,1,89,15,-15,3
2024-02-03 22:11:13,20,-4,0,1,89,15,0,3
2024-02-03 22:11:13,20,-4,0,2,88,15,0,6
2024-02-03 22:11:13,20,-3,0,1,88,-15,0,3
2024-02-03 22:11:13,20,-3,-1,4,88,0,0,12
2024-02-03 22:11:13,20,-2,-1,5,86,0,0,15
