Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw
2024-02-03 22:19:33,20,18,-13,17,74,0,0,51
2024-02-03 22:19:33,20,15,-10,21,73,0,0,63
2024-02-03 22:19:33,20,4,-2,17,74,0,0,51
2024-02-03 22:19:33,20,3,1,14,74,0,0,42
2024-02-03 22:19:33,20,2,2,9,74,-6,-6,27
2024-02-03 22:19:33,20,4,2,5,73,-16,-6,15
2024-02-03 22:19:33,20,5,2,5,73,-16,-6,15
2024-02-03 22:19:34,20,7,2,4,73,-16,-6,12
2024-02-03 22:19:34,20,7,2,5,73,-16,-6,15
2024-02-03 22:19:34,20,7,3,4,73,-16,-16,12
2024-02-03 22:19:34,20,7,3,4,73,-16,-9,12
2024-02-03 22:19:34,20,8,3,4,73,-16,-9,12
2024-02-03 22:19:34,20,8,2,4,73,-16,16,12
2024-02-03 22:19:34,20,8,2,4,73,-16,-6,12
2024-02-03 22:19:34,20,8,2,4,73,-16,-6,12
2024-02-03 22:19:35,20,8,1,6,73,-16,16,18
2024-02-03 22:19:35,20,8,0,6,73,-16,16,18
2024-02-03 22:19:35,20,7,0,6,73,16,0,18
2024-02-03 22:19:35,20,6,-1,6,73,16,16,18
2024-02-03 22:19:35,20,10,-5,5,72,-16,16,15
2024-02-03 22:19:35,20,10,-6,3,72,-16,16,9
2024-02-03 22:19:35,20,11,-6,2,71,-16,16,6
2024-02-03 22:19:35,20,12,-6,3,71,-16,16,9
2024-02-03 22:19:36,20,13,-6,2,72,-16,16,6
2024-02-03 22:19:36,20,14,-6,2,72,-16,16,6
2024-02-03 22:19:36,20,14,-6,3,72,-16,16,9
2024-02-03 22:19:36,20,14,-5,2,72,-16,-16,6
2024-02-03 22:19:36,20,14,-5,2,72,-16,15,6
2024-02-03 22:19:36,20,14,-4,2,73,-16,-16,6
2024-02-03 22:19:36,20,14,-2,2,73,-16,-16,6
2024-02-03 22:19:36,20,14,-2,3,73,-16,6,9
2024-02-03 22:19:37,20,13,-1,1,73,9,-16,3
2024-02-03 22:19:37,20,13,0,2,73,-16,-16,6
2024-02-03 22:19:37,20,12,-1,1,74,16,16,3
2024-02-03 22:19:37,20,11,-1,2,73,15,3,6
2024-02-03 22:19:37,20,10,-2,1,73,16,16,3
2024-02-03 22:19:37,20,9,-3,1,73,16,16,3
2024-02-03 22:19:37,20,8,-3,-1,73,16,9,-3
2024-02-03 22:19:37,20,8,-4,0,73,-16,16,0
2024-02-03 22:19:38,20,8,-4,0,73,-16,12,0
2024-02-03 22:19:38,20,9,-4,0,73,-16,12,0
2024-02-03 22:19:38,20,10,-4,0,72,-16,12,0
2024-02-03 22:19:38,20,12,-3,-2,72,-16,-16,-6
2024-02-03 22:19:38,20,12,-3,0,72,-16,9,0
2024-02-03 22:19:38,20,13,-3,0,71,-16,9,0
2024-02-03 22:19:38,20,13,-3,2,71,-16,9,6
2024-02-03 22:19:38,20,13,-3,3,71,-16,9,9
2024-02-03 22:19:39,20,12,-3,3,70,12,9,9
2024-02-03 22:19:39,20,12,-3,3,70,-16,9,9
2024-02-03 22:19:39,20,11,-3,4,70,9,9,12
2024-02-03 22:19:39,20,10,-2,4,70,16,-16,12
2024-02-03 22:19:39,20,10,-2,4,70,-16,6,12
2024-02-03 22:19:39,20,9,-1,3,71,16,-16,9
2024-02-03 22:19:39,20,8,-1,3,71,16,3,9
2024-02-03 22:19:39,20,8,0,2,71,-16,-16,6
2024-02-03 22:19:40,20,8,0,2,71,-16,0,6
2024-02-03 22:19:40,20,8,0,3,71,-16,0,9
2024-02-03 22:19:40,20,8,0,1,72,-16,0,3
2024-02-03 22:19:40,20,8,0,2,72,-16,0,6
2024-02-03 22:19:40,20,8,0,2,72,-16,0,6
2024-02-03 22:19:40,20,8,-1,0,72,-16,16,0
2024-02-03 22:19:40,20,8,-2,0,71,-16,16,0
2024-02-03 22:19:40,20,8,-4,-2,71,-16,16,-6
2024-02-03 22:19:41,20,8,-4,-2,71,-16,12,-6
2024-02-03 22:19:41,20,8,-5,-2,69,-16,16,-6
2024-02-03 22:19:41,20,7,-5,-5,69,16,15,-15
2024-02-03 22:19:41,20,7,-5,-6,69,-16,15,-18
2024-02-03 22:19:41,20,6,-5,-6,69,16,15,-18
2024-02-03 22:19:41,20,5,-5,-6,69,16,15,-18
