Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw,Value Z
2024-02-04 19:38:23,20,1,-5,-2,76,-6,9,-6,-15
2024-02-04 19:38:23,20,1,-4,-2,76,-6,-15,-6,-15
2024-02-04 19:38:23,20,1,-4,-2,76,-6,8,-6,-15
2024-02-04 19:38:23,20,1,-3,-2,76,-6,-15,-6,-15
2024-02-04 19:38:23,20,1,-3,-2,76,-6,7,-6,-15
2024-02-04 19:38:23,20,1,-2,-3,75,-6,-15,-9,-15
2024-02-04 19:38:23,20,1,-2,-3,75,-6,6,-9,-15
2024-02-04 19:38:23,20,1,-2,-3,75,-6,6,-9,-15
2024-02-04 19:38:23,20,1,-2,-2,75,-6,6,-6,-15
2024-02-04 19:38:23,20,1,-2,-2,75,-6,6,-6,-15
2024-02-04 19:38:23,20,1,-2,-2,75,-6,6,-6,-15
2024-02-04 19:38:23,20,1,-2,-2,75,-6,6,-6,-15
2024-02-04 19:38:23,20,1,-1,-3,74,-6,-15,-9,-15
2024-02-04 19:38:23,20,1,0,-1,74,-6,-15,-3,-15
2024-02-04 19:38:23,20,1,0,-1,74,-6,-6,-3,-15
2024-02-04 19:38:23,20,1,0,-2,74,-6,-6,-6,-15
2024-02-04 19:38:23,20,1,0,-1,74,-6,-6,-3,-15
2024-02-04 19:38:23,20,1,0,-1,74,-6,-6,-3,-15
2024-02-04 19:38:23,20,1,0,-1,74,-6,-6,-3,-15
2024-02-04 19:38:23,20,1,1,-1,74,-6,-15,-3,-15
2024-02-04 19:38:23,20,1,1,-1,74,-6,-7,-3,-15
2024-02-04 19:38:23,20,1,2,-2,74,-6,-15,-6,-15
2024-02-04 19:38:24,20,1,2,-2,73,-6,-8,-6,-15
2024-02-04 19:38:24,20,0,2,0,73,15,-8,0,-15
2024-02-04 19:38:24,20,0,3,-1,73,0,-15,-3,-15
2024-02-04 19:38:24,20,0,3,-1,73,0,-9,-3,-15
2024-02-04 19:38:24,20,0,3,-1,73,0,-9,-3,-15
2024-02-04 19:38:24,20,0,3,0,73,0,-9,0,-15
2024-02-04 19:38:24,20,0,3,0,72,0,-9,0,-15
2024-02-04 19:38:24,20,0,4,0,72,0,-15,0,-15
2024-02-04 19:38:24,20,0,4,-2,72,0,-10,-6,-15
2024-02-04 19:38:24,20,0,4,-2,72,0,-10,-6,-15
2024-02-04 19:38:24,20,-1,4,0,72,15,-10,0,-15
2024-02-04 19:38:24,20,-1,4,0,72,6,-10,0,-15
2024-02-04 19:38:24,20,-1,4,0,71,6,-10,0,-15
2024-02-04 19:38:24,20,0,5,-2,71,-15,-15,-6,-15
2024-02-04 19:38:24,20,0,5,-2,70,0,-11,-6,-15
2024-02-04 19:38:24,20,-1,5,0,70,15,-11,0,-15
2024-02-04 19:38:24,20,-1,5,-1,70,6,-11,-3,-15
2024-02-04 19:38:24,20,-1,5,-1,69,6,-11,-3,-15
2024-02-04 19:38:24,20,-1,5,-2,69,6,-11,-6,-15
2024-02-04 19:38:24,20,-1,5,-2,69,6,-11,-6,-15
2024-02-04 19:38:24,20,-1,5,-2,68,6,-11,-6,-15
2024-02-04 19:38:24,20,-1,5,1,68,6,-11,3,-15
2024-02-04 19:38:24,20,-1,4,-2,68,6,15,-6,-15
2024-02-04 19:38:24,20,-1,4,-2,67,6,-10,-6,-15
2024-02-04 19:38:24,20,-1,4,-2,67,6,-10,-6,-15
2024-02-04 19:38:24,20,-1,4,-1,67,6,-10,-3,-15
2024-02-04 19:38:24,20,-1,4,-1,67,6,-10,-3,-15
2024-02-04 19:38:24,20,-1,4,-1,67,6,-10,-3,-15
2024-02-04 19:38:24,20,-1,4,-1,67,6,-10,-3,-15
2024-02-04 19:38:24,20,-1,4,-1,67,6,-10,-3,-15
2024-02-04 19:38:24,20,-1,3,-1,66,6,15,-3,-15
2024-02-04 19:38:24,20,-1,3,-1,66,6,-9,-3,-15
2024-02-04 19:38:25,20,-1,3,-2,66,6,-9,-6,-15
2024-02-04 19:38:25,20,-1,3,0,65,6,-9,0,-15
2024-02-04 19:38:25,20,-1,3,0,65,6,-9,0,-15
2024-02-04 19:38:25,20,-1,3,0,65,6,-9,0,-15
2024-02-04 19:38:25,20,-1,3,-1,64,6,-9,-3,-15
2024-02-04 19:38:25,20,-1,3,-1,64,6,-9,-3,-15
2024-02-04 19:38:25,20,-1,2,-1,64,6,15,-3,-15
2024-02-04 19:38:25,20,-1,2,-1,64,6,-8,-3,-15
2024-02-04 19:38:25,20,-1,2,-2,63,6,-8,-6,-15
2024-02-04 19:38:25,20,-1,2,-2,63,6,-8,-6,-15
2024-02-04 19:38:25,20,-1,2,-2,63,6,-8,-6,-15
2024-02-04 19:38:25,20,-1,2,-2,63,6,-8,-6,-15
2024-02-04 19:38:25,20,-1,2,-2,63,6,-8,-6,-15
2024-02-04 19:38:25,20,-1,2,-2,63,6,-8,-6,-15
2024-02-04 19:38:25,20,-1,1,-2,62,6,15,-6,-15
2024-02-04 19:38:25,20,-1,1,-2,62,6,-7,-6,-15
2024-02-04 19:38:25,20,-1,1,-2,62,6,-7,-6,-15
2024-02-04 19:38:25,20,-1,1,-2,61,6,-7,-6,-15
2024-02-04 19:38:25,20,-1,1,-2,61,6,-7,-6,-15
2024-02-04 19:38:25,20,-1,1,-2,61,6,-7,-6,-15
2024-02-04 19:38:25,20,-1,1,-3,60,6,-7,-9,-15
2024-02-04 19:38:25,20,-1,1,-3,60,6,-7,-9,-15
2024-02-04 19:38:25,20,0,0,-3,60,-15,15,-9,-15
2024-02-04 19:38:25,20,0,0,-3,59,0,-6,-9,-15
2024-02-04 19:38:25,20,0,0,-3,59,0,-6,-9,-15
2024-02-04 19:38:25,20,0,0,-4,59,0,-6,-12,-15
2024-02-04 19:38:25,20,0,0,-4,59,0,-6,-12,-15
2024-02-04 19:38:25,20,0,0,-4,59,0,-6,-12,-15
2024-02-04 19:38:25,20,0,0,-3,59,0,-6,-9,-15
2024-02-04 19:38:25,20,0,0,-3,59,0,-6,-9,-15
2024-02-04 19:38:25,20,0,0,-5,58,0,-6,-15,-15
2024-02-04 19:38:26,20,0,0,-4,58,0,-6,-12,-15
2024-02-04 19:38:26,20,0,0,-4,58,0,-6,-12,-15
2024-02-04 19:38:26,20,0,0,-4,58,0,-6,-12,-15
2024-02-04 19:38:26,20,0,0,-4,58,0,-6,-12,-15
2024-02-04 19:38:26,20,0,0,-4,58,0,-6,-12,-15
2024-02-04 19:38:26,20,0,0,-3,58,0,-6,-9,-15
2024-02-04 19:38:26,20,0,0,-3,57,0,-6,-9,-15
2024-02-04 19:38:26,20,-1,0,-4,57,15,-6,-12,-15
2024-02-04 19:38:26,20,-1,1,-3,57,6,-15,-9,-15
2024-02-04 19:38:26,20,-1,1,-3,57,6,-7,-9,-15
2024-02-04 19:38:26,20,-1,1,-3,57,6,-7,-9,-15
2024-02-04 19:38:26,20,-1,1,-3,57,6,-7,-9,-15
2024-02-04 19:38:26,20,-1,1,-3,56,6,-7,-9,-15
2024-02-04 19:38:26,20,-1,0,-3,56,6,15,-9,-15
2024-02-04 19:38:26,20,-1,0,-3,56,6,-6,-9,-15
2024-02-04 19:38:26,20,-1,0,-3,56,6,-6,-9,-15
2024-02-04 19:38:26,20,-1,0,-3,56,6,-6,-9,-15
2024-02-04 19:38:26,20,-1,0,-3,56,6,-6,-9,-15
2024-02-04 19:38:26,20,-1,0,-2,56,6,-6,-6,-15
2024-02-04 19:38:26,20,-1,0,-2,56,6,-6,-6,-15
2024-02-04 19:38:26,20,-1,0,-2,56,6,-6,-6,-15
2024-02-04 19:38:26,20,-1,0,-2,56,6,-6,-6,-15
2024-02-04 19:38:26,20,-1,0,-1,56,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,56,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,56,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,55,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,55,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,55,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,54,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,54,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,54,6,-6,-3,-15
2024-02-04 19:38:26,20,-1,0,-1,54,6,-6,-3,-15
2024-02-04 19:38:27,20,-1,1,-1,54,6,-15,-3,-15
2024-02-04 19:38:27,20,-1,1,-1,54,6,-7,-3,-15
2024-02-04 19:38:27,20,-1,1,-1,53,6,-7,-3,-15
2024-02-04 19:38:27,20,-1,1,-1,53,6,-7,-3,-15
2024-02-04 19:38:27,20,-1,1,-1,53,6,-7,-3,-15
2024-02-04 19:38:27,20,-1,1,-1,52,6,-7,-3,-15
2024-02-04 19:38:27,20,0,1,-1,52,-15,-7,-3,-15
2024-02-04 19:38:27,20,0,1,-1,52,0,-7,-3,-15
2024-02-04 19:38:27,20,0,1,-1,52,0,-7,-3,-15
2024-02-04 19:38:27,20,0,1,-1,51,0,-7,-3,-15
2024-02-04 19:38:27,20,0,1,-1,51,0,-7,-3,-15
2024-02-04 19:38:27,20,0,1,-1,51,0,-7,-3,-15
2024-02-04 19:38:27,20,0,1,0,50,0,-7,0,-15
2024-02-04 19:38:27,20,0,1,0,50,0,-7,0,-15
2024-02-04 19:38:27,20,0,1,0,50,0,-7,0,-15
2024-02-04 19:38:27,20,0,1,0,49,0,-7,0,-15
2024-02-04 19:38:27,20,1,1,0,49,-15,-7,0,-15
2024-02-04 19:38:27,20,1,1,-1,49,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,49,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,49,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,49,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,49,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,49,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,49,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,48,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,48,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,48,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,47,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,1,-1,47,-6,-7,-3,-15
2024-02-04 19:38:27,20,1,2,-1,47,-6,-15,-3,-15
2024-02-04 19:38:28,20,1,2,-1,47,-6,-8,-3,-15
2024-02-04 19:38:28,20,1,2,-1,46,-6,-8,-3,-15
2024-02-04 19:38:28,20,1,2,-1,46,-6,-8,-3,-15
2024-02-04 19:38:28,20,1,2,-1,46,-6,-8,-3,-15
2024-02-04 19:38:28,20,1,2,-1,45,-6,-8,-3,-15
2024-02-04 19:38:28,20,1,2,-1,45,-6,-8,-3,-15
2024-02-04 19:38:28,20,1,2,-1,45,-6,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-2,44,-15,-8,-6,-15
2024-02-04 19:38:28,20,2,2,-2,44,-7,-8,-6,-15
2024-02-04 19:38:28,20,2,2,-1,44,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,43,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,43,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,43,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,42,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,42,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,42,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,41,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,41,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,41,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,41,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,41,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,40,-7,-8,-3,-15
2024-02-04 19:38:28,20,2,2,-1,40,-7,-8,-3,-15
2024-02-04 19:38:28,20,3,2,-1,40,-15,-8,-3,-15
2024-02-04 19:38:28,20,3,2,-2,40,-8,-8,-6,-15
2024-02-04 19:38:28,20,3,2,-2,39,-8,-8,-6,-15
2024-02-04 19:38:28,20,2,2,-2,39,15,-8,-6,-15
2024-02-04 19:38:28,20,2,2,-2,39,-7,-8,-6,-15
2024-02-04 19:38:28,20,2,2,-2,38,-7,-8,-6,-15
2024-02-04 19:38:28,20,3,2,-2,38,-15,-8,-6,-15
2024-02-04 19:38:28,20,2,2,-3,38,15,-8,-9,-15
2024-02-04 19:38:28,20,2,2,-3,37,-7,-8,-9,-15
2024-02-04 19:38:29,20,2,2,-3,37,-7,-8,-9,-15
2024-02-04 19:38:29,20,2,2,-3,37,-7,-8,-9,-15
2024-02-04 19:38:29,20,2,2,-2,37,-7,-8,-6,-15
2024-02-04 19:38:29,20,2,2,-2,37,-7,-8,-6,-15
2024-02-04 19:38:29,20,2,2,-3,37,-7,-8,-9,-15
2024-02-04 19:38:29,20,2,2,-3,37,-7,-8,-9,-15
2024-02-04 19:38:29,20,2,1,-3,36,-7,15,-9,-15
2024-02-04 19:38:29,20,2,1,-3,36,-7,-7,-9,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,2,1,-2,36,-7,-7,-6,-15
2024-02-04 19:38:29,20,1,1,-2,36,15,-7,-6,-15
2024-02-04 19:38:29,20,1,1,-2,36,-6,-7,-6,-15
2024-02-04 19:38:29,20,1,1,-2,35,-6,-7,-6,-15
2024-02-04 19:38:29,20,1,2,-2,35,-6,-15,-6,-15
2024-02-04 19:38:29,20,1,2,-2,35,-6,-8,-6,-15
2024-02-04 19:38:29,20,1,2,-1,35,-6,-8,-3,-15
2024-02-04 19:38:29,20,1,2,-1,34,-6,-8,-3,-15
2024-02-04 19:38:29,20,0,2,-1,34,15,-8,-3,-15
2024-02-04 19:38:29,20,0,2,0,34,0,-8,0,-15
2024-02-04 19:38:29,20,-1,2,0,34,15,-8,0,-15
2024-02-04 19:38:29,20,-1,2,0,34,6,-8,0,-15
2024-02-04 19:38:29,20,-1,2,0,34,6,-8,0,-15
2024-02-04 19:38:29,20,-1,3,0,33,6,-15,0,-15
2024-02-04 19:38:29,20,-1,3,0,33,6,-9,0,-15
2024-02-04 19:38:29,20,-1,3,1,33,6,-9,3,-15
2024-02-04 19:38:29,20,-1,3,1,33,6,-9,3,-15
2024-02-04 19:38:30,20,-1,3,1,33,6,-9,3,-15
2024-02-04 19:38:30,20,-2,3,2,33,15,-9,6,-15
2024-02-04 19:38:30,20,-2,3,2,33,7,-9,6,-15
2024-02-04 19:38:30,20,-2,3,2,32,7,-9,6,-15
2024-02-04 19:38:30,20,-2,3,2,32,7,-9,6,-15
2024-02-04 19:38:30,20,-2,3,2,32,7,-9,6,-15
