Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw
2024-02-03 18:20:28,20,6,-1,3,76,-18,0,9
2024-02-03 18:20:28,20,11,2,-7,76,0,0,-21
2024-02-03 18:20:28,20,17,3,-8,76,0,0,-24
2024-02-03 18:20:28,20,22,2,-5,76,0,0,-15
2024-02-03 18:20:28,20,24,-3,2,76,-97,0,6
2024-02-03 18:20:28,20,24,-5,7,76,0,0,21
2024-02-03 18:20:28,20,23,-5,6,76,0,0,18
2024-02-03 18:20:28,20,23,-6,8,75,0,0,24
2024-02-03 18:20:28,20,22,-7,10,75,0,0,30
2024-02-03 18:20:28,20,21,-8,10,75,0,0,30
2024-02-03 18:20:29,20,20,-8,10,75,0,0,30
2024-02-03 18:20:29,20,18,-8,12,75,0,0,36
2024-02-03 18:20:29,20,18,-8,12,75,0,0,36
2024-02-03 18:20:29,20,17,-9,13,76,0,0,39
2024-02-03 18:20:29,20,18,-9,13,75,0,0,39
2024-02-03 18:20:29,20,17,-9,12,75,0,0,36
2024-02-03 18:20:29,20,15,-9,11,75,0,0,33
2024-02-03 18:20:29,20,15,-9,10,75,0,0,30
2024-02-03 18:20:29,20,15,-8,11,75,0,0,33
2024-02-03 18:20:29,20,15,-8,11,75,0,0,33
2024-02-03 18:20:29,20,14,-8,10,76,0,0,30
2024-02-03 18:20:29,20,14,-8,10,76,0,0,30
2024-02-03 18:20:29,20,15,-8,10,75,0,0,30
2024-02-03 18:20:30,20,13,-7,7,75,0,0,21
2024-02-03 18:20:30,20,13,-7,8,75,0,0,24
2024-02-03 18:20:30,20,13,-7,8,75,0,0,24
2024-02-03 18:20:30,20,14,-6,5,74,0,0,15
2024-02-03 18:20:30,20,13,-6,7,74,0,0,21
2024-02-03 18:20:30,20,13,-6,7,74,0,0,21
2024-02-03 18:20:30,20,13,-7,5,75,0,0,15
2024-02-03 18:20:30,20,14,-6,3,75,-52,0,9
2024-02-03 18:20:30,20,14,-6,1,76,-42,0,3
2024-02-03 18:20:30,20,14,-6,3,76,-42,0,9
2024-02-03 18:20:30,20,15,-4,3,75,-60,0,9
2024-02-03 18:20:30,20,15,-4,2,76,-45,0,6
2024-02-03 18:20:30,20,14,-4,-1,76,-29,0,-3
2024-02-03 18:20:31,20,17,-4,0,76,-89,0,0
2024-02-03 18:20:31,20,14,-4,0,76,-3,0,0
2024-02-03 18:20:31,20,14,-4,0,76,-42,0,0
2024-02-03 18:20:31,20,12,-4,0,77,-10,0,0
2024-02-03 18:20:31,20,10,-4,0,77,-4,0,0
2024-02-03 18:20:31,20,9,-4,0,76,-14,0,0
2024-02-03 18:20:31,20,6,-4,0,76,20,0,0
2024-02-03 18:20:31,20,5,-3,2,76,-2,0,6
2024-02-03 18:20:31,20,3,-3,2,76,16,0,6
2024-02-03 18:20:31,20,-1,-3,2,77,54,0,6
2024-02-03 18:20:31,20,-3,-3,1,77,34,0,3
2024-02-03 18:20:31,20,-3,-2,0,76,9,0,0
2024-02-03 18:20:32,20,-5,-2,1,76,40,0,3
2024-02-03 18:20:32,20,-9,-2,0,76,77,0,0
2024-02-03 18:20:32,20,-7,-2,2,75,-4,0,6
2024-02-03 18:20:32,20,-9,-2,2,75,52,0,6
2024-02-03 18:20:32,20,-10,-2,3,75,42,0,9
2024-02-03 18:20:32,20,-10,-2,0,75,30,0,0
2024-02-03 18:20:32,20,-9,-1,3,75,14,0,9
2024-02-03 18:20:32,20,-8,-1,0,74,11,0,0
2024-02-03 18:20:32,20,-8,-1,-1,74,24,0,-3
2024-02-03 18:20:32,20,-8,-1,-1,74,24,0,-3
2024-02-03 18:20:32,20,-4,-1,-1,74,-39,0,-3
2024-02-03 18:20:32,20,-3,-1,-5,74,0,0,-15
2024-02-03 18:20:32,20,-4,-1,-5,74,0,0,-15
2024-02-03 18:20:33,20,0,0,-6,74,0,0,-18
2024-02-03 18:20:33,20,1,0,-6,74,0,0,-18
2024-02-03 18:20:33,20,2,0,-5,73,0,0,-15
2024-02-03 18:20:33,20,3,0,-7,73,0,0,-21
2024-02-03 18:20:33,20,4,1,-8,73,0,0,-24
2024-02-03 18:20:33,20,5,1,-8,74,0,0,-24
2024-02-03 18:20:33,20,5,1,-9,74,0,0,-27
2024-02-03 18:20:33,20,8,2,-10,74,0,0,-30
2024-02-03 18:20:33,20,9,2,-10,74,0,0,-30
2024-02-03 18:20:33,20,5,2,-10,74,0,0,-30
2024-02-03 18:20:33,20,6,2,-9,74,0,0,-27
2024-02-03 18:20:33,20,7,3,-6,74,0,0,-18
2024-02-03 18:20:33,20,8,3,-6,74,0,0,-18
2024-02-03 18:20:34,20,8,3,-6,75,0,0,-18
2024-02-03 18:20:34,20,8,3,-6,75,0,0,-18
2024-02-03 18:20:34,20,8,3,-5,75,0,0,-15
2024-02-03 18:20:34,20,8,3,-4,76,0,0,-12
2024-02-03 18:20:34,20,8,3,-3,76,-24,0,-9
2024-02-03 18:20:34,20,8,3,-4,76,0,0,-12
2024-02-03 18:20:34,20,7,3,-4,76,0,0,-12
2024-02-03 18:20:34,20,7,3,-4,77,0,0,-12
2024-02-03 18:20:34,20,7,3,-2,77,-21,0,-6
2024-02-03 18:20:34,20,7,2,-3,77,-21,0,-9
2024-02-03 18:20:34,20,7,2,-2,77,-21,0,-6
2024-02-03 18:20:34,20,6,2,-2,78,-5,0,-6
2024-02-03 18:20:34,20,6,2,-2,78,-18,0,-6
2024-02-03 18:20:35,20,6,2,-1,78,-18,0,-3
2024-02-03 18:20:35,20,6,2,-1,78,-18,0,-3
2024-02-03 18:20:35,20,5,2,-1,77,-2,0,-3
2024-02-03 18:20:35,20,5,2,-1,78,-15,0,-3
2024-02-03 18:20:35,20,4,2,0,78,0,0,0
2024-02-03 18:20:35,20,4,2,-1,78,-12,0,-3
2024-02-03 18:20:35,20,4,1,-2,78,-12,0,-6
2024-02-03 18:20:35,20,3,1,-2,78,3,0,-6
2024-02-03 18:20:35,20,2,1,-2,78,6,0,-6
2024-02-03 18:20:35,20,2,1,-3,78,-6,0,-9
2024-02-03 18:20:35,20,1,1,-4,78,0,0,-12
2024-02-03 18:20:35,20,0,2,-3,78,16,0,-9
2024-02-03 18:20:35,20,0,2,-4,78,0,0,-12
2024-02-03 18:20:36,20,-1,2,-4,78,0,0,-12
2024-02-03 18:20:36,20,-2,3,-4,78,0,0,-12
2024-02-03 18:20:36,20,-2,3,-4,78,0,0,-12
2024-02-03 18:20:36,20,-2,3,-6,78,0,0,-18
2024-02-03 18:20:36,20,-3,3,-3,77,21,0,-9
2024-02-03 18:20:36,20,-3,3,-6,77,0,0,-18
2024-02-03 18:20:36,20,-3,4,-4,77,0,0,-12
2024-02-03 18:20:36,20,-4,4,-4,78,0,0,-12
2024-02-03 18:20:36,20,-4,4,-5,78,0,0,-15
2024-02-03 18:20:36,20,-4,4,-4,78,0,0,-12
2024-02-03 18:20:36,20,-5,5,-4,77,0,0,-12
2024-02-03 18:20:36,20,-6,5,-4,77,0,0,-12
2024-02-03 18:20:36,20,-6,5,-4,77,0,0,-12
2024-02-03 18:20:37,20,-6,5,-5,76,0,0,-15
2024-02-03 18:20:37,20,-7,6,-5,77,0,0,-15
2024-02-03 18:20:37,20,-7,6,-5,77,0,0,-15
2024-02-03 18:20:37,20,-7,6,-5,76,0,0,-15
2024-02-03 18:20:37,20,-8,7,-5,76,0,0,-15
2024-02-03 18:20:37,20,-8,7,-4,76,0,0,-12
2024-02-03 18:20:37,20,-8,7,-4,77,0,0,-12
2024-02-03 18:20:37,20,-9,7,-5,77,0,0,-15
2024-02-03 18:20:37,20,-9,7,-3,76,27,0,-9
2024-02-03 18:20:37,20,-9,7,-3,77,27,0,-9
2024-02-03 18:20:37,20,-9,7,-3,77,27,0,-9
2024-02-03 18:20:37,20,-9,7,-4,77,0,0,-12
2024-02-03 18:20:37,20,-8,8,-3,76,11,0,-9
2024-02-03 18:20:38,20,-9,8,-3,76,39,0,-9
2024-02-03 18:20:38,20,-9,8,-4,77,0,0,-12
2024-02-03 18:20:38,20,-8,8,-4,77,0,0,-12
2024-02-03 18:20:38,20,-8,8,-2,77,24,0,-6
2024-02-03 18:20:38,20,-7,8,-1,77,8,0,-3
2024-02-03 18:20:38,20,-6,8,-2,77,5,0,-6
2024-02-03 18:20:38,20,-5,8,0,77,2,0,0
2024-02-03 18:20:38,20,-4,8,-2,77,0,0,-6
2024-02-03 18:20:38,20,-3,8,-2,77,-3,0,-6
2024-02-03 18:20:38,20,-3,8,-2,77,9,0,-6
2024-02-03 18:20:38,20,-2,7,0,77,-6,0,0
2024-02-03 18:20:38,20,-1,7,-2,77,-12,0,-6
2024-02-03 18:20:39,20,-1,7,-2,76,3,0,-6
2024-02-03 18:20:39,20,0,7,-2,77,-12,0,-6
2024-02-03 18:20:39,20,1,7,-1,77,-15,0,-3
2024-02-03 18:20:39,20,1,7,-1,77,-3,0,-3
2024-02-03 18:20:39,20,1,7,-1,77,-3,0,-3
2024-02-03 18:20:39,20,1,7,-4,76,0,0,-12
2024-02-03 18:20:39,20,2,7,-4,77,0,0,-12
2024-02-03 18:20:39,20,2,7,-4,77,0,0,-12
2024-02-03 18:20:39,20,2,7,-4,77,0,0,-12
2024-02-03 18:20:39,20,2,7,-5,77,0,0,-15
2024-02-03 18:20:39,20,2,7,-4,76,0,0,-12
2024-02-03 18:20:39,20,2,7,-4,76,0,0,-12
2024-02-03 18:20:39,20,2,7,-4,76,0,0,-12
2024-02-03 18:20:40,20,2,7,-4,76,0,0,-12
2024-02-03 18:20:40,20,2,6,-3,76,-6,0,-9
2024-02-03 18:20:40,20,2,6,-2,76,-6,0,-6
2024-02-03 18:20:40,20,2,6,-2,75,-6,0,-6
2024-02-03 18:20:40,20,2,6,-3,76,-6,0,-9
2024-02-03 18:20:40,20,1,6,-4,76,0,0,-12
2024-02-03 18:20:40,20,1,6,-4,76,0,0,-12
2024-02-03 18:20:40,20,2,6,-4,77,0,0,-12
2024-02-03 18:20:40,20,2,6,-2,77,-6,0,-6
2024-02-03 18:20:40,20,2,6,-2,76,-6,0,-6
2024-02-03 18:20:40,20,2,6,-1,76,-6,0,-3
2024-02-03 18:20:40,20,2,7,-2,76,-6,0,-6
2024-02-03 18:20:40,20,1,6,-2,76,9,0,-6
2024-02-03 18:20:41,20,1,7,-2,76,-3,0,-6
