Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw
2024-02-03 18:30:37,20,-17,6,-2,80,51,0,-6
2024-02-03 18:30:37,20,-17,5,-2,80,51,0,-6
2024-02-03 18:30:37,20,-17,4,0,80,51,0,0
2024-02-03 18:30:37,20,-17,4,0,81,51,0,0
2024-02-03 18:30:37,20,-17,4,0,81,51,0,0
2024-02-03 18:30:37,20,-17,3,0,82,51,0,0
2024-02-03 18:30:37,20,-17,3,0,82,51,0,0
2024-02-03 18:30:38,20,-17,3,0,82,51,0,0
2024-02-03 18:30:38,20,-17,3,0,82,51,0,0
2024-02-03 18:30:38,20,-18,2,0,82,66,0,0
2024-02-03 18:30:38,20,-18,2,-1,82,54,0,-3
2024-02-03 18:30:38,20,-18,2,0,82,54,0,0
2024-02-03 18:30:38,20,-18,2,1,82,54,0,3
2024-02-03 18:30:38,20,-18,2,-1,82,54,0,-3
2024-02-03 18:30:38,20,-18,2,-3,83,54,0,-9
2024-02-03 18:30:38,20,-18,2,-1,82,54,0,-3
2024-02-03 18:30:38,20,-18,2,-1,82,54,0,-3
2024-02-03 18:30:38,20,-18,2,-1,82,54,0,-3
2024-02-03 18:30:38,20,-18,3,-1,82,54,0,-3
2024-02-03 18:30:38,20,-18,3,0,82,54,0,0
2024-02-03 18:30:39,20,-18,3,0,82,54,0,0
2024-02-03 18:30:39,20,-18,3,-1,82,54,0,-3
2024-02-03 18:30:39,20,-18,3,0,81,54,0,0
2024-02-03 18:30:39,20,-19,3,1,83,69,0,3
2024-02-03 18:30:39,20,-18,3,-2,82,41,0,-6
2024-02-03 18:30:39,20,-20,3,-3,82,85,0,-9
2024-02-03 18:30:39,20,-17,3,0,82,12,0,0
2024-02-03 18:30:39,20,-17,3,-2,82,51,0,-6
2024-02-03 18:30:39,20,-15,3,0,82,19,0,0
2024-02-03 18:30:39,20,-12,3,-2,82,-2,0,-6
2024-02-03 18:30:39,20,-10,3,-2,82,4,0,-6
2024-02-03 18:30:39,20,-6,3,1,81,-33,0,3
2024-02-03 18:30:39,20,-4,2,0,83,-13,0,0
2024-02-03 18:30:40,20,-1,2,1,83,-35,0,3
2024-02-03 18:30:40,20,1,2,1,83,-28,0,3
2024-02-03 18:30:40,20,3,3,1,82,-34,0,3
2024-02-03 18:30:40,20,6,2,1,83,-56,0,3
2024-02-03 18:30:40,20,6,2,2,83,-18,0,6
2024-02-03 18:30:40,20,7,2,3,83,-33,0,9
2024-02-03 18:30:40,20,9,2,1,83,-52,0,3
2024-02-03 18:30:40,20,8,2,1,83,-11,0,3
2024-02-03 18:30:40,20,7,2,2,83,-8,0,6
2024-02-03 18:30:40,20,7,1,2,83,-21,0,6
2024-02-03 18:30:40,20,7,1,1,83,-21,0,3
2024-02-03 18:30:40,20,7,1,3,83,-21,0,9
2024-02-03 18:30:40,20,4,2,2,83,26,0,6
2024-02-03 18:30:41,20,4,2,4,83,0,0,12
2024-02-03 18:30:41,20,3,2,4,82,0,0,12
2024-02-03 18:30:41,20,-1,3,5,82,0,0,15
2024-02-03 18:30:41,20,-1,4,5,84,0,0,15
2024-02-03 18:30:41,20,-2,4,5,84,0,0,15
2024-02-03 18:30:41,20,-2,4,5,83,0,0,15
2024-02-03 18:30:41,20,-3,5,5,83,0,0,15
2024-02-03 18:30:41,20,-3,5,5,83,0,0,15
2024-02-03 18:30:41,20,-6,6,4,84,0,0,12
2024-02-03 18:30:41,20,-6,6,4,84,0,0,12
2024-02-03 18:30:41,20,-7,7,4,84,0,0,12
2024-02-03 18:30:41,20,-10,8,4,83,0,0,12
2024-02-03 18:30:42,20,-10,8,2,83,30,0,6
2024-02-03 18:30:42,20,-10,9,3,84,30,0,9
2024-02-03 18:30:42,20,-11,9,1,85,43,0,3
2024-02-03 18:30:42,20,-12,9,1,85,52,0,3
2024-02-03 18:30:42,20,-11,9,-1,85,20,0,-3
2024-02-03 18:30:42,20,-11,9,-1,85,33,0,-3
2024-02-03 18:30:42,20,-10,9,-2,85,14,0,-6
2024-02-03 18:30:42,20,-10,9,-2,85,30,0,-6
2024-02-03 18:30:42,20,-10,9,-2,85,30,0,-6
2024-02-03 18:30:42,20,-8,9,-2,84,-1,0,-6
2024-02-03 18:30:42,20,-7,9,-2,84,8,0,-6
2024-02-03 18:30:42,20,-7,9,-2,84,21,0,-6
2024-02-03 18:30:42,20,-4,10,-2,85,-26,0,-6
2024-02-03 18:30:43,20,-2,10,-1,85,-19,0,-3
2024-02-03 18:30:43,20,-1,10,-3,85,-9,0,-9
2024-02-03 18:30:43,20,0,10,-3,85,-12,0,-9
2024-02-03 18:30:43,20,3,9,0,83,-47,0,0
2024-02-03 18:30:43,20,3,9,-1,84,-9,0,-3
2024-02-03 18:30:43,20,4,9,-1,84,-24,0,-3
2024-02-03 18:30:43,20,6,9,2,84,-43,0,6
2024-02-03 18:30:43,20,7,9,2,84,-33,0,6
2024-02-03 18:30:43,20,5,9,1,83,10,0,3
2024-02-03 18:30:43,20,5,9,2,84,-15,0,6
2024-02-03 18:30:43,20,6,9,2,84,-30,0,6
2024-02-03 18:30:43,20,6,10,2,83,-18,0,6
2024-02-03 18:30:43,20,2,10,2,83,45,0,6
2024-02-03 18:30:44,20,4,10,2,83,-44,0,6
2024-02-03 18:30:44,20,3,9,3,83,3,0,9
2024-02-03 18:30:44,20,1,9,4,84,0,0,12
2024-02-03 18:30:44,20,0,9,4,84,0,0,12
2024-02-03 18:30:44,20,0,9,1,84,0,0,3
2024-02-03 18:30:44,20,-1,9,4,84,0,0,12
2024-02-03 18:30:44,20,-5,9,4,84,0,0,12
2024-02-03 18:30:44,20,-5,10,2,83,15,0,6
2024-02-03 18:30:44,20,-5,11,4,83,0,0,12
2024-02-03 18:30:44,20,-6,10,4,84,0,0,12
2024-02-03 18:30:44,20,-8,11,2,84,49,0,6
2024-02-03 18:30:44,20,-8,12,3,84,24,0,9
2024-02-03 18:30:44,20,-9,12,4,84,0,0,12
2024-02-03 18:30:45,20,-11,12,3,83,58,0,9
2024-02-03 18:30:45,20,-10,12,3,82,17,0,9
2024-02-03 18:30:45,20,-11,13,4,81,0,0,12
2024-02-03 18:30:45,20,-11,13,3,81,33,0,9
2024-02-03 18:30:45,20,-12,12,3,80,48,0,9
2024-02-03 18:30:45,20,-12,12,2,80,36,0,6
2024-02-03 18:30:45,20,-11,12,3,80,20,0,9
2024-02-03 18:30:45,20,-11,12,0,80,33,0,0
2024-02-03 18:30:45,20,-11,12,2,80,33,0,6
2024-02-03 18:30:45,20,-10,12,2,80,17,0,6
2024-02-03 18:30:45,20,-10,12,2,80,30,0,6
2024-02-03 18:30:45,20,-9,13,2,80,14,0,6
2024-02-03 18:30:45,20,-8,13,2,80,11,0,6
2024-02-03 18:30:46,20,-6,12,1,81,-7,0,3
2024-02-03 18:30:46,20,-7,12,1,81,33,0,3
2024-02-03 18:30:46,20,-4,13,0,82,-26,0,0
2024-02-03 18:30:46,20,-1,14,2,82,-35,0,6
2024-02-03 18:30:46,20,-2,13,2,83,18,0,6
2024-02-03 18:30:46,20,0,14,1,84,-25,0,3
2024-02-03 18:30:46,20,1,14,2,84,-15,0,6
